files changed,insertions(+),deletions(-)
1,8,7
2,14,7
1,1,1
2,58,0
20,1454,5
5,164,11
1,13,12
3,22,21
1,1,0
1,1,1
3,101,2
3,3,3
5,354,2
15,466,1
5,298,2
1,8,1
2,2,2
3,434,66
1,15,6
6,108,55
6,476,3
2,3,2
1,3,3
1,3,2
5,265,18
8,17,17
3,8,1
1,1,1
1,9,0
2,3,2
2,3,5
2,4,4
2,38,7
2,30,6
5,313,9
1,1,1
1,52,7
8,99,353
7,415,9
2,4,3
1,1,1
3,165,4
1,9,6
1,4,1
8,586,6
1,1,1
4,47,1
1,3,1
1,1,1
5,196,5
1,2,2
1,31,12
1,2,2
2,7,6
130,2,251
4,122,2
1,3,3
3,51,9
0
2,19,56
7,255,2
1,1,1
2,22,26
28,28,28
1,0,2
3,31,12
1,27,6
4,94,6
9,360,3
8,196,7
5,303,4
4,186,3
5,293,1
5,46,6
1,6,0
4,54,86
2,37,6
1,4,1
11,268,2
1,2,1
5,1494,8
3,2,14
3,106,13
1,6,5
1,1,1
2,98,0
1,2,2
8,17,17
4,6,6
1,5,0
2,44,7
1,5,1
13,599,7
1,1,1
2,3,3
2,2,2
7,13,18
1,1,1
1,1,1
1,4,2
26,131,46
1,3,2
29,712,22
2,7,7
1,1,1
3,28,22
2,84,1
1,22,2
4,263,0
1,1,0
2,18,4
2,5,9
0
1,5,0
3,297,0
3,82,13
1,2,1
2,9,5
12,2,2
1,4,3
1,6,0
7,494,0
2,18,3
1,14,0
3,11,1
1,5,2
1,7,0
9,20,20
4,14,7
2,6,6
2,6,6
9,229,29
4,34,1
2,47,10
1,2,2
2,50,4
10,300,76
3,17,4
1,0,1
1,0,6
1,16,2
1,4,2
1,14,6
1,71,30
1,9,0
1,14,12
1,5,9
7,9,415
1,5,11
1,11,5
1,3,5
1,5,3
1,4,0
3,3,3
5,264,0
4,159,1
1,11,2
1,2,2
1,4,3
2,51,1
2,172,3
2,11,4
1,0,0
1,15,0
2,8,15
2,18,0
3,19,17
1,0,5
1,0,37
6,295,8
1,4,0
2,17,8
1,5,0
3,148,2
1,8,3
6,95,3
1,4,8
1,1,1
1,1,1
2,27,12
1,1,1
1,0,1
1,3,1
1,1,2
1,0,0
2,68,1
3,43,21
4,93,78
2,11,11
1,2,1
1,1,3
6,256,0
5,119,30
1,0,3
2,53,3
3,16,32
1,14,0
8,41,8
1,1,0
2,2,2
5,325,1
1,3,3
1,1,1
1,3,1
3,60,14
3,4,10
1,2,1
3,90,8
1,27,0
1,2,2
2,8,3
1,0,309
1,31,36
3,314,1
23,555,30
4,103,105
1,1,10
1,2,2
4,69,6
2,6,1
1,3,2
2,8,1
3,171,5
1,2,1
3,67,1
3,30,2
2,49,5
3,306,0
2,85,1
1,1,1
2,80,5
1,1,0
3,21,10
1,70,44
1,1,1
1,17,3
1,1,1
4,87,0
1,1,1
1,1,1
4,144,1
3,127,3
1,12,3
1,3,0
1,5,0
1,2,0
1,6,6
3,20,4
4,240,219
1,6,1
4,280,2
2,31,0
0
5,205,0
1,2,0
1,11,3
1,3,3
5,104,82
2,4,4
2,2,4
14,981,0
1,1,1
1,8,0
1,1,3
1,18,0
1,1,0
5,421,6
1,2,4
1,3,0
1,1,1
4,124,1
1,2,2
7,376,1
1,1,0
1,5,1
3,19,4
1,19,0
1,3,1
8,327,6
3,199,0
3,124,3
4,125,2
2,32,1
1,49,0
1,3,1
325,22,1008
1,6,1
1,59,20
1,0,5
1,0,0
4,53,54
1,3,4
6,48,0
5,270,1
2,29,2
4,46,0
1,3,0
1,1,0
2,28,1
18,206,14
1,2,0
2,15,4
1,8,12
4,163,3
1,1,6
4,473,0
1,4,4
1,2,0
1,17,0
69,8940,70
1,1,1
3,7,2
4,108,3
1,4,0
1,8,2
1,1,1
3,20,9
1,2,2
1,10,5
5,49,10
5,30,27
1,3,2
3,11,1
21,110,36
1,5,0
1,1,1
1,20,0
1,2,0
1,1,1
4,12,11
1,20,6
7,26,85
2,66,30
6,633,5
1,12,8
18,984,19
1,1,1
3,173,1
2,8,3
2,14,0
1,0,2
1,90,2
3,28,0
7,356,5
2,2,2
2,3,3
7,368,1
6,529,0
1,3,22
1,38,8
1,7,1
1,1,1
1,1,0
1,22,3
1,23,1
11,609,4
2,21,4
10,48,1
1,2,2
1,3,4
2,13,0
1,3,0
1,2,30
26,26,26
26,29,29
1,3,3
2,3,0
1,1,1
2,12,3
1,20,2
1,3,1
1,57,0
44,1259,2456
1,5,5
1,6,1
3,466,2019
1,5,1
2,116,7
2,6,3
2,62,0
1,1,0
13,816,1
1,1,0
1,2,1
1,1,1
4,618,339
1,1,1
1,86,0
1,1,1
1,0,4
2,25,3
1,1,1
1,4,0
1,16,7
1,0,0
1,1,1
1,0,1
3,19,16
1,1,1
2,4,4
11,112,116
1,2,2
2,73,23
1,3,1
5,124,31
13,122,70
2,212,0
2,1,6
4,223,3
1,13,4
2,18,17
1,1,1
1,2,3
1,83,16
4,30,15
20,587,412
1,377,0
2,10,5
1,3,0
1,5,3
26,26,26
1,1,1
8,294,223
26,26,26
3,70,0
2,4,11
1,3,0
1,62,1
12,150,0
2,10,3
1,44,31
4,197,202
4,202,197
1,2,2
1,8,7
2,100,0
5,32,3
1,15,0
1,1,2
7,168,193
1,0,2
5,5,5
0
2,2,2
1,67,0
3,5,5
1,1,1
24,546,594
3,30,0
1,1,1
3,239,2
3,12,12
1,2,2
6,82,21
1,3,3
1,38,0
1,7,1
2,0,2
3,181,0
13,337,8
1,1,1
9,217,15
9,149,29
1,8,0
2,28,4
2,15,12
21,3314,46
6,11,10
1,9,0
1,0,0
5,693,569
4,8,4
1,1,1
2,21,2
1,2,0
1,17,8
4,25,29
4,9,9
3,47,12
1,2,0
1,4,1
1,23,0
247,3201,2369
2,11,1
5,4,12
5,14,65
5,17,12
1,13,5
248,2393,3179
2,6,6
6,271,1
1,24,0
6,353,0
1,7,2
2,21,8
1,5,4
1,1,2
1,6,7
1,28,20
1,2,1
1,3,5
1,20,28
1,6,0
2,26,2
2,10,9
2,28,28
1,5,1
1,3,3
5,16,1
2,21,8
1,2,2
1,0,0
2,149,160
1,1,3
1,0,0
1,2,2
6,0,0
1,98,1
6,538,20
4,218,0
1,3,3
1,1,1
2,5,3
1,1,2
1,2,2
6,61,24
1,0,4
3,58,4
3,18,8
7,78,12
1,1,1
3,228,14
1,58,0
1,8,1
1,1,1
1,21,0
2,41,3
4,72,0
4,59,0
4,26,227
1,1,1
2,94,13
2,2,2
1,0,2
1,0,5
1,22,2
1,0,0
4,212,26
2,18,4
1,1,1
1,4,1
1,2,2
1,148,0
1,3,3
2,16,11
2,19,5
8,379,0
21,233,193
2,14,3
9,71,4
1,1,4
1,7,7
3,72,22
1,9,9
4,103,133
3,35,13
1,3,5
1,4,1
1,0,0
9,7,92
2,2,1
3,306,1
8,91,7
1,1,1
1,4,1
1,6,5
6,128,10
2,14,8
9,130,15
2,5,1
2,26,1
3,40,3
3,21,4
2,8,9
7,113,35
1,17,0
1,1,1
1,2,0
1,21,4
1,17,1
1,1,1
8,749,0
0
1,0,2
1,11,0
5,51,30
2,12,4
2,2,1
3,35,4
3,162,6
5,42,2
4,64,1
1,0,6
1,2,1
2,37,3
1,0,1
5,170,2
1,0,1
5,193,10
1,10,1
1,1,1
5,10,13
6,509,1
1,23,0
2,2,2
4,234,11
1,107,47
2,2,2
2,8,8
10,21,21
1,1,1
1,1,1
1,6,6
1,2,0
1,6,6
5,33,41
1,29,0
5,16,15
11,40,36
53,3658,0
3,284,21
3,60,9
4,21,12
2,26,8
1,9,0
10,744,2
2,3,3
8,34,41
1,11,10
5,10,10
1,2,0
2,62,1
1,1,1
0
3,530,1
5,49,15
5,10,10
1,11,3
3,206,2
1,33,6
1,1,1
2,10,12
1,6,0
1,0,0
4,244,4
7,416,1
1,6,2
4,14,10
1,59,7
1,2,2
1,1,1
1,18,0
5,64,36
6,43,90
1,3,0
3,14,5
14,0,28
14,28,0
14,0,28
1,7,11
1,0,112
5,292,2
2,9,10
1,1,0
10,160,48
1,1,1
5,18,14
1,0,2
1,2,2
1,11,7
6,223,9
1,4,1
5,38,39
1,2,6
1,14,0
4,674,0
1,37,8
5,214,5
1,1,0
8,17,16
1,10,10
1,0,1
1,47,31
2,43,206
1,3,5
4,27,97
2,21,15
3,38,0
1,2,2
1,2,2
2,64,63
9,702,1
19,212,144
1,0,32
2,175,4
1,2,2
1,17,0
1,4,2
1,1,1
9,97,6
1,10,0
1,11,0
1,0,11
1,5,5
1,16,2
4,72,1
5,425,1
1,2,2
7,313,8
1,9,5
4,152,6
1,17,0
3,425,6
3,131,0
4,190,0
3,22,9
10,890,0
1,1,1
2,7,0
43,5683,0
1,0,0
4,19,8
4,18,1
1,13,15
3,277,10
1,1,1
1,46,13
1,2,2
1,1,0
23,26,26
3,3,3
1,4,8
4,30,3
1,68,58
1,40,6
1,1,0
2,16,8
3,17,14
1,3,1
1,1,1
1,3,3
0
1,13,46
6,241,1
4,12,0
2,47,54
1,34,27
1,20,1
1,19,9
1,1,0
4,161,0
5,0,496
5,496,0
1,5,2
5,90,32
3,109,8
1,40,5
1,1,1
2,88,7
2,8,2
1,2,2
2,11,2
2,4,0
1,2,2
1,4,4
7,301,3
3,218,0
4,50,10
2,212,0
1,7,4
1,10,14
1,3,1
1,25,11
1,62,0
1,4,5
1,2,2
3,33,2
1,4,2
5,0,666
16,0,2392
11,18,94
2,12,2
1,17,6
1,3,1
1,2,1
1,2,2
7,20,23
13,43,52
16,48,49
1,2,0
4,84,52
2,88,16
2,6,7
1,8,1
2,2,2
1,3,3
1,0,31
5,22,19
1,1,1
2,134,1
1,2,2
3,3,3
12,34,601
1,2,1
1,5,2
6,25,10
1,5,2
3,32,8
1,20,12
6,667,0
1,1,1
1,17,25
5,110,2
18,2438,3
1,0,1
1,5,1
2,16,0
1,1,3
1,1,1
1,5,2
1,5,2
4,142,6
1,1,1
1,4,2
1,4,2
4,162,4
1,1,0
1,1,0
1,0,5
1,11,1
1,1,0
12,25,1
1,2,1
1,3,7
1,7,2
1,1,0
1,2,1
2,12,3
1,1,0
3,17,7
8,9,3
2,28,12
1,1,0
1,22,1
1,9,0
1,11,15
1,2,1
4,63,16
1,30,35
4,4,4
1,48,44
1,6,3
1,1,5
1,0,0
21,825,150
2,2,2
1,2,1
8,823,457
1,1,0
1,10,14
2,20,12
10,96,20
3,5,4
8,263,7
2,6,14
1,1,1
6,32,12
1,20,0
3,29,8
4,43,1
3,60,200
1,16,0
2,12,1
1,1,1
1,0,6
4,116,6
1,7,4
1,3,5
1,1,1
2,10,8
1,5,5
2,6,3
1,18,14
1,0,5
6,31,6
4,14,7
5,74,23
3,15,1
2,4,2
1,1,0
1,0,2
1,7,0
7,21,3
7,13,10
2,3,76
5,26,11
11,40,10
4,6,0
3,19,1
1,4,11
4,34,0
5,15,0
2,16,0
2,18,4
1,8,7
1,0,7
1,9,0
1,19,8
1,8,0
1,3,0
1,17,1
1,2,0
1,11,4
1,1,0
2,9,9
8,78,0
10,94,0
1,1,1
9,83,10
1,2,0
21,82,37
1,1,1
1,1,0
1,7,0
1,1,0
2,13,4
1,43,41
1,43,36
4,47,15
1,1,1
1,63,42
2,16,9
3,6,9
1,1,1
5,8,16
2,14,13
1,21,1
3,57,13
1,4,8
3,29,15
2,6,3
1,0,1
2,31,4
1,6,0
15,101,42
1,6,0
1,17,4
14,15,14
1,1,1
1,3,0
1,1,0
1,8,8
1,2,1
1,11,3
2,4,0
5,10,0
10,40,12
2,14,3
3,45,34
2,5,0
1,5,11
1,1,1
1,30,25
1,3,0
3,29,19
2,0,8
1,2,2
1,8,0
2,6,6
6,38,38
1,3,0
1,2,1
1,0,62
2,148,0
2,5,2
1,122,0
1,0,3
8,563,276
4,6,3
8,25,4
1,0,5
2,49,2
7,97,21
1,1,1
1,0,5
1,1,1
1,0,29
1,30,1
8,13,13
2,25,1
1,4,0
8,48,40
1,18,0
15,176,35
8,79,316
2,1,42
2,44,1
14,441,26
1,1,1
1,2,2
1,8,0
5,235,1
1,37,22
3,202,2
1,1,1
1,54,1
3,22,2
1,16,9
1,12,1
1,1,1
1,2,12
1,0,2
1,15,1
1,12,2
2,23,5
1,3,3
1,12,12
1,3,3
1,19,0
1,27,0
4,115,6
1,2,1
2,5,8
2,112,2
1,0,0
2,36,0
5,285,2
2,7,74
3,95,3
2,119,0
7,22,254
1,205,11
6,63,29
1,5,2
2,85,2
1,7,6
1,4,4
2,13,160
1,17,3
5,53,36
1,2,28
2,55,3
3,201,1
1,3,0
7,269,247
1,10,0
2,37,0
2,51,0
5,189,0
1,18,0
2,271,0
45,5858,0
1,1,1
1,85,0
5,0,0
1,0,0
1,0,0
2,2,2
3,320,3
10,225,309
1,1,1
9,365,31
1,1,1
1,0,1
1,2,1
4,77,8
2,24,1
20,246,728
1,3,1
1,2,2
5,215,20
2,70,3
1,1,0
1,2,1
2,16,12
1,4,1
1,3,3
1,170,35
1,1,0
1,1,1
4,34,5
1,6,1
3,75,17
3,12,44
10,61,74
1,1,1
1,0,50
1,2,1
1,23,11
1,73,2
2,6,2
6,490,0
2,132,11
10,289,51
1,22,4
2,2,12
11,673,141
2,11,1
1,13,3
2,25,2
1,17,92
1,1,0
3,104,0
13,279,128
1,1,0
12,45,35
4,47,22
0
1,39,17
13,315,142
1,1,0
1,0,42
4,417,0
7,60,12
0
0
1,1,1
4,215,11
8,79,21
33,2739,0
3,31,2
4,4,4
1,1,1
1,1,1
2,14,2
1,2,2
0
2,62,6
2,13,11
0
3,16,4
1,1,1
1,5,1
3,26,5
3,11,1
36,106,52
7,179,9
3,135,75
1,18,0
4,119,0
13,0,2372
1,1,1
1,24,16
1,1,1
7,524,42
2,0,6
2,72,1
1,0,1
1,5,9
1,74,0
1,2,0
6,1743,0
2,30,6
16,544,24
3,0,0
6,374,3
1,8,1
0
1,105,0
9,315,40
1,1,1
1,1,1
2,25,40
2,6,0
4,8,9
10,452,2
1,1,1
2,18,1
3,59,30
1,4,0
1,1,1
3,93,20
1,2,0
1,2,1
1,2,2
2,16,4
1,23,4
4,32,1
10,293,2
1,60,0
2,15,12
1,18,0
7,381,0
1,2,4
1,14,0
2,22,2
6,198,10
1,6,0
1,4,0
3,210,4
1,50,27
4,77,24
2,7,2
1,1,1
1,27,25
1,5,1
1,19,0
5,22,22
1,23,0
1,12,1
1,1,1
1,14,1
3,170,4
9,451,2
1,20,4
1,1,0
1,12,1
1,101,0
0
6,721,91
2,4,6
1,2,2
1,1,4
7,373,2
1,0,4
1,1,1
1,1,1
1,3,1
2,2,2
3,16,7
1,1,5
1,1,6
1,15,11
4,97,7
2,9,5
1,1,1
3,5,5
3,6,0
2,2,3
1,1,1
3,17,12
2,0,0
3,122,6
1,0,4
1,1,3
10,663,337
1,4,0
1,5,10
1,1,1
1,2,2
2,27,1
1,1,1
1,1,1
1,1,1
2,46,5
18,62,62
1,5,4
2,11,3
2,0,0
3,5,22
4,22,37
1,5,2
1,1,1
1,7,2
1,2,2
1,1,1
8,29,199
1,3,1
1,15,0
2,5,5
1,3,1
20,489,13
2,15,10
7,137,10
1,63,50
1,0,75
3,214,6
1,2,1
1,1,0
1,47,25
1,1,12
3,26,4
18,974,42
3,38,3
0
1,0,11
10,113,14
6,4,92
1,4,0
1,25,161
2,6,3
4,26,21
2,38,0
7,129,3
1,0,0
1,0,0
4,76,71
2,0,0
5,0,0
3,0,0
5,0,0
14,1028,0
7,0,0
2,6,3
1,1,1
1,3,22
1,0,0
15,0,0
12,0,0
10,0,0
1,1,0
5,0,0
9,143,65
2,36,0
2,12,0
1,0,0
10,398,109
1,0,1
10,91,37
1,1,1
15,0,0
5,396,5
1,40,1
1,4,0
4,119,16
9,447,92
3,4,4
1,0,1
2,206,76
13,26600,0
1,27,0
1,21,71
2,7,2
1,3,0
1,2,2
1,7,5
5,83,147
1,0,9
4,308,106
11,816,0
2,30,2
42,300,337
2,4,4
2,1,3
3,21,11
2,16,5
2,22,6
1,18,0
1,18,0
1,5,5
1,1,1
1,58,27
1,45,0
1,1,1
17,8,1
1,0,2
1,6,1
1,8,1
2,44,1
7,111,0
8,67,125
14,180,28
1,14,43
5,39,42
2,2,339
1,0,0
1,1,1
16,0,0
1,0,0
1,34,0
1,0,92
59,7238,0
7,896,0
2,6,2
1,1,1
1,25,3
14,584,34
3,103,2
19,146,116
1,2,2
2,117,74
6,92,4
1,2,1
2,205,0
4,8,44
3,59,12
14,207,206
6,0,0
2,0,0
0
0
2,11,26
8,72,36
1,1,1
0
5,222,48
1,0,0
4,858,259
2,17,0
1,10,3
5,14,8
1,46,9
1,6,1
3,133,2
1,2,20
8,259,7
3,5,2
6,610,5
5,4,590
1,1,1
6,679,6
1,5,2
1,29,2
1,18,0
1,1,1
1,5,1
2,15,0
1,83,0
4,98,4
1,2,1
1,18,12
2,15,4
4,47,39
1,4,1
2,7,10
1,0,11
3,38,2
1,16,28
1,4,0
5,21,190
1,1,0
2,150,6
3,332,0
1,0,1
1,6,6
1,2,1
2,9,3
1,3,0
1,0,1
3,39,17
1,0,0
1,65,8
2,4,3
5,379,0
2,26,17
1,9,1
1,43,42
1,0,3
1,7,4
3,8,8
1,3,2
1,32,4
2,111,5
3,111,7
1,19,2
1,1,1
1,3,2
1,1,0
1,18,0
2,51,18
1,29,1
1,11,1
1,25,0
2,13,4
1,60,11
8,9,127
1,0,0
1,18,12
1,13,3
2,15,1
4,111,4
4,16,5
3,24,22
1,39,10
1,8,9
16,388,162
1,1,1
1,2,0
1,12,2
1,13,4
4,5,129
2,5,1
1,1,1
1,2,0
11,424,75
1,10,0
2,3,1
2,91,9
36,2450,0
9,483,33
2,19,0
1,1,1
1,4,4
1,2,1
2,3,0
2,227,8
1,1,1
1,0,1
3,19,17
2,6,4
4,27,11
17,20,20
3,3,3
2,2,0
2,2,0
1,11,38
1,7,19
8,70,48
1,24,0
1,47,40
1,15,6
1,4,0
1,1,1
2,65,3
1,17,2
1,14,4
1,2,0
1,25,0
2,4,6
5,61,2
1,6,2
1,6,0
1,31,5
1,10,4
1,30,0
3,36,2
4,226,21
1,2,4
7,239,13
5,38,1
1,5,0
1,2,0
1,1,2
2,15,0
12,141,68
1,104,162
2,3,0
1,13,2
1,13,0
3,42,0
1,10,11
1,1,2
1,27,14
1,9,7
1,3,3
2,3,3
2,26,22
1,7,1
11,30,24
10,25,40
4,44,28
1,2,0
3,35,14
3,17,3
2,2,0
13,4475,0
4,60,22
9,16,16
3,155,2
3,76,4
1,1,1
2,0,3
6,9,14
1,3,14
4,121,3
1,7,3
1,5,1
6,167,24
1,3,2
1,14,14
1,10,9
1,12,0
6,44,35
17,313,148
1,3,3
1,5,2
2,2,0
5,257,5
1,12,0
7,127,9
4,198,3
2,48,3
1,0,0
3,121,28
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,9,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,4,2
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,3,0
2,4,1
2,2,0
2,2,0
2,2,0
2,3,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,51,18
1,1,1
2,2,0
2,2,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
12,0,1156
1,2,1
57,0,57
56,173,172
1,3,1
1,27,0
1,1,2
2,2,0
1,1,1
1,1,1
2,3,0
2,3,0
2,3,0
2,3,0
1,0,1
1,12,9
1,120,120
4,398,14
1,2,1
3,21,17
4,69,0
13,390,6
1,2,1
1,12,0
1,4,1
2,112,17
2,3,0
1,3,1
9,167,2
2,2,0
2,7,4
3,58,6
2,34,0
1,16,10
2,9,0
1,0,3
1,111,23
2,39,5
7,317,23
1,13,13
2,8,8
1,3,4
2,12,13
14,580,115
2,4,4
2,7,2
1,2,2
4,83,5
12,747,0
2,3,0
1,9,8
1,8,8
1,1,1
1,8,4
7,445,1
4,122,180
1,1,0
17,20,20
17,21,21
2,8,8
3,4,4
1,2,0
2,3,0
2,6,0
1,2,0
3,399,65
15,626,11
2,26,2
1,1,1
6,125,0
1,164,102
1,3,0
4,43,40
4,5,8
2,3,5
1,42,43
1,4,1
1,17,0
1,125,130
1,4,2
1,3,6
2,4,4
1,9,6
5,9,36
10,26,26
1,1,2
1,48,60
4,25,12
1,2,2
1,0,50
2,22,68
1,0,1
1,2,2
1,1,0
1,47,0
2,3,3
1,12,7
1,3,6
2,19,72
1,71,18
4,82,30
1,2,2
1,3,1
6,20,426
1,2,0
8,36,34
1,2,1
2,3,0
1,171,171
1,0,0
5,0,0
9,0,0
1,3,0
4,459,0
2,31,23
1,4,2
1,13,29
1,10,2
1,38,0
2,32,0
2,73,24
4,79,2
2,24,8
1,38,0
7,207,111
2,13,5
4,393,0
3,226,2
2,4,1
2,9,1
5,5,5
5,36,3
2,2,1
2,10,1
2,14,7
8,154,6
3,40,2
4,17,24
2,17,44
3,116,2
1,3,0
1,27,1
1,7,1
3,25,1
1,0,2
5,343,7
4,356,0
1,1,0
3,3,36
10,106,21
6,306,29
1,20,1
1,3,1
4,10,11
4,2,54
1,4,12
2,45,2
1,0,3
40,3,3189
1,5,0
1,2,4
2,60,2
1,6,0
9,52,20
2,36,0
2,7,1
3,5,3
1,0,4
1,9,5
3,112,2
3,26,6
1,24,14
1,14,24
5,140,179
1,10,0
8,102,50
4,52,8
7,37,4
27,111,134
1,0,2
1,6,5
2,2,2
3,9,5
1,1,1
2,9,0
1,1,0
1,10,8
1,1,11
1,2,2
1,175,0
1,1,1
5,50,2
2,10,1
6,246,1
63,0,7524
1,6,4
6,50,50
3,54,20
156,8907,2219
3,52,1
10,1523,0
3,5,2
1,16,1
1,1,0
16,664,521
12,672,472
3,4,3
1,17,2
1,4,3
2,431,211
3,17,3
0
1,0,19
1,0,5
4,291,0
1,7,5
65,154,152
1,12,1
7,498,332
1,5,8
1,2,0
1,3,3
4,27,2
1,25,14
6,193,18
1,0,1
1,5,30
1,8,1
1,39,6
4,161,2
1,88,18
1,229,5
3,55,3
1,2,1
2,35,24
2,8,1
1,28,10
1,2,2
10,569,2
1,3,0
4,25,20
2,2,1
9,30,56
11,417,7
3,62,35
2,7,8
2,12,0
1,17,0
2,95,1
1,3,4
3,24,1
2,13,3
6,61,2
6,467,3
1,2,2
4,252,1
4,319,7
3,38,6
2,37,8
10,49,18
22,1167,37
3,10,18
3,51,14
2,2,7
10,4,19
2,58,57
12,179,49
1,4,1
1,1,0
1,29,0
1,1,0
3,30,0
2,9,0
1,7,1
8,40,41
55,6220,0
1,0,1
1,6,0
2,29,5
2,44,6
2,12,7
1,1,1
1,1,2
2,25,1
6,384,0
1,5,2
2,11,13
7,116,3
2,18,9
1,0,2
1,36,38
2,11,1
1,34,19
7,64,31
1,0,3
1,8,8
4,8,8
3,18,2
4,106,41
4,255,3
3,5,19
8,58,8
1,4,2
1,3,4
16,457,190
1,21,0
1,10,0
1,13,6
1,2,0
1,86,42
1,33,21
4,416,0
1,106,0
8,87,27
3,36,15
1,2,1
2,32,5
1,12,0
5,30,10
2,19,1
4,61,32
1,28,13
2,75,0
2,8,3
2,5,36
1,7,11
2,16,5
12,70,51
2,6,2
2,6,2
2,6,2
3,15,1
2,5,36
1,7,11
3,11,32
1,3,2
5,92,46
7,179,36
1,28,2
1,1,1
2,2,2
1,4,0
2,4,2
1,2,0
2,8,2
1,2,0
3,19,0
2,82,1
2,33,1
8,266,50
4,44,8
3,30,3
1,1,3
2,31,1
1,1,1
1,5,5
1,5,5
4,102,91
11,300,128
1,16,1
4,181,9
6,191,111
1,2,0
1,1,1
1,12,12
1,1,1
1,3,3
1,8,7
1,4,4
2,10,4
1,1,1
2,3,0
1,1,12
4,41,2
2,96,3
3,7,34
3,6,5
1,16,21
33,5674,17
1,101,32
1,4,0
1,26,22
1,5,13
1,12,29
6,158,135
1,1,1
3,18,15
1,8,0
8,789,0
4,97,104
5,467,84
1,27,0
1,14,3
1,1,1
15,407,11
25,480,339
1,27,0
1,1,0
11,24,4
9,165,17
1,0,0
5,19,15
1,1,1
2,0,0
1,1,1
7,186,12
7,518,15
10,252,246
37,1922,106
1,9,6
1,1,1
1,9,3
1,5,0
23,114,6
2,53,49
6,412,0
2,16,3
1,6,6
6,35,38
1,3,0
2,128,8
1,7,0
1,1,1
6,163,9
1,0,2
5,137,52
18,586,54
4,95,11
2,17,1
5,123,2
1,6,4
3,1051,1
4,595,0
2,2,2
2,38,48
4,122,28
1,3,15
18,126,94
37,112,72
6,224,4
2,51,0
4,3,4
4,150,2
4,11,14
4,476,0
2,4,4
10,91,99
1,2,2
9,659,10
1,25,34
5,825,299
2,0,0
4,39,8
1,0,17
3,53,6
2,1,16
2,94,0
4,172,10
1,2,0
3,17,2
1,33,0
1,1,1
1,1,1
1,189,25
4,22,29
3,89,48
2,10,1
1,377,109
2,75,0
1,1,1
2,15,8
5,2,133
1,15,4
1,23,11
1,851,145
9,648,40
8,70,52
93,1765,0
1,29,4
24,260,249
3,41,9
1,39,39
1,40,0
8,34,29
1,18,3
1,1,1
6,59,68
4,19,10
4,28,19
3,138,114
1,38,49
11,130,189
1,626,235
15,188,211
8,42,51
11,0,0
2,0,0
1,0,8
2,160,0
1,61,0
9,457,44
5,12,135
5,19,7
1,1,1
20,1410,52
1,2,1
5,95,2
1,1,1
1,8,2
6,220,10
1,83,3
1,2,5
1,1,1
8,395,33
1,1,0
1,13,0
1,18,0
2,2,2
5,233,0
1,4,2
2,3,1
1,13,2
2,83,26
1,41,5
4,39,63
5,586,364
4,55,6
2,268,2
4,4,4
1,2,3
1,4,2
