line_no,diffmyers-HRegionServer.java,diffhistogram-HRegionServer.java,diffminimal-HRegionServer.java,diffpatience-HRegionServer.java
1382 , -   * @param controller the rpc controller , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion());
1383 , -   * @param request the get request , - , - , -
1384 , -   * @throws serviceexception , -      getresponse.builder builder = getresponse.newbuilder(); , -      getresponse.builder builder = getresponse.newbuilder(); , -      getresponse.builder builder = getresponse.newbuilder();
1385 , +   * return the favored nodes for a region given its encoded name. look at the , -      clientprotos.get get = request.getget(); , -      clientprotos.get get = request.getget(); , -      clientprotos.get get = request.getget();
1386 , +   * comment around {@link #regionfavorednodesmap} on why it is inetsocketaddress[] , -      boolean existence = null; , -      boolean existence = null; , -      boolean existence = null;
1387 , +   * @param encodedregionname , -      result r = null; , -      result r = null; , -      result r = null;
1388 , +   * @return array of favored locations , - , - , -
1389 , */ , -      if (get.hasclosestrowbefore() && get.getclosestrowbefore()) { , -      if (get.hasclosestrowbefore() && get.getclosestrowbefore()) { , -      if (get.hasclosestrowbefore() && get.getclosestrowbefore()) {
1390 , @override , -        if (get.getcolumncount() != 1) { , -        if (get.getcolumncount() != 1) { , -        if (get.getcolumncount() != 1) {
1391 , -  public getresponse get(final rpccontroller controller , -          throw new donotretryioexception( , -          throw new donotretryioexception( , -          throw new donotretryioexception(
1392 , -      final getrequest request) throws serviceexception { ," -            ""get closestrowbefore supports one and only one family now', 'not "" "," -            ""get closestrowbefore supports one and only one family now', 'not "" "," -            ""get closestrowbefore supports one and only one family now', 'not """
1393 , -    long before = environmentedgemanager.currenttimemillis(); ," -              + get.getcolumncount() + "" families""); "," -              + get.getcolumncount() + "" families""); "," -              + get.getcolumncount() + "" families"");"
1394 , -    try { , -        } , -        } , -        }
1395 , -      checkopen(); , -        byte[] row = get.getrow().tobytearray(); , -        byte[] row = get.getrow().tobytearray(); , -        byte[] row = get.getrow().tobytearray();
1396 , -      requestcount.increment(); , -        byte[] family = get.getcolumn(0).getfamily().tobytearray(); , -        byte[] family = get.getcolumn(0).getfamily().tobytearray(); , -        byte[] family = get.getcolumn(0).getfamily().tobytearray();
1397 , -      hregion region = getregion(request.getregion()); ," -        r = region.getclosestrowbefore(row', 'family); "," -        r = region.getclosestrowbefore(row', 'family); "," -        r = region.getclosestrowbefore(row', 'family);"
1398 , - , -      } else { , -      } else { , -      } else {
1399 , -      getresponse.builder builder = getresponse.newbuilder(); , -        get clientget = protobufutil.toget(get); , -        get clientget = protobufutil.toget(get); , -        get clientget = protobufutil.toget(get);
1400 , -      clientprotos.get get = request.getget(); , -        if (get.getexistenceonly() && region.getcoprocessorhost() != null) { , -        if (get.getexistenceonly() && region.getcoprocessorhost() != null) { , -        if (get.getexistenceonly() && region.getcoprocessorhost() != null) {
1401 , -      boolean existence = null; , -          existence = region.getcoprocessorhost().preexists(clientget); , -          existence = region.getcoprocessorhost().preexists(clientget); , -          existence = region.getcoprocessorhost().preexists(clientget);
1402 , -      result r = null; , -        } , -        } , -        }
1403 , - , -        if (existence == null) { , -        if (existence == null) { , -        if (existence == null) {
1404 , -      if (get.hasclosestrowbefore() && get.getclosestrowbefore()) { , -          r = region.get(clientget); , -          r = region.get(clientget); , -          r = region.get(clientget);
1405 , -        if (get.getcolumncount() != 1) { , -          if (get.getexistenceonly()) { , -          if (get.getexistenceonly()) { , -          if (get.getexistenceonly()) {
1406 , -          throw new donotretryioexception( , -            boolean exists = r.getexists(); , -            boolean exists = r.getexists(); , -            boolean exists = r.getexists();
1407 ," -            ""get closestrowbefore supports one and only one family now', 'not "" ", -            if (region.getcoprocessorhost() != null) { , -            if (region.getcoprocessorhost() != null) { , -            if (region.getcoprocessorhost() != null) {
1408 ," -              + get.getcolumncount() + "" families""); "," -              exists = region.getcoprocessorhost().postexists(clientget', 'exists); "," -              exists = region.getcoprocessorhost().postexists(clientget', 'exists); "," -              exists = region.getcoprocessorhost().postexists(clientget', 'exists);"
1409 , -        } , -            } , -            } , -            }
1410 , -        byte[] row = get.getrow().tobytearray(); , -            existence = exists; , -            existence = exists; , -            existence = exists;
1411 , -        byte[] family = get.getcolumn(0).getfamily().tobytearray(); , -          } , -          } , -          }
1412 ," -        r = region.getclosestrowbefore(row', 'family); ", -        } , -        } , -        }
1413 , -      } else { , -      } , -      } , -      }
1414 , -        get clientget = protobufutil.toget(get); , -      if (existence != null){ , -      if (existence != null){ , -      if (existence != null){
1415 , -        if (get.getexistenceonly() && region.getcoprocessorhost() != null) { , -        clientprotos.result pbr = protobufutil.toresult(existence); , -        clientprotos.result pbr = protobufutil.toresult(existence); , -        clientprotos.result pbr = protobufutil.toresult(existence);
1416 , -          existence = region.getcoprocessorhost().preexists(clientget); , -        builder.setresult(pbr); , -        builder.setresult(pbr); , -        builder.setresult(pbr);
1417 , -        } , -      } else  if (r != null) { , -      } else  if (r != null) { , -      } else  if (r != null) {
1418 , -        if (existence == null) { , -        clientprotos.result pbr = protobufutil.toresult(r); , -        clientprotos.result pbr = protobufutil.toresult(r); , -        clientprotos.result pbr = protobufutil.toresult(r);
1419 , -          r = region.get(clientget); , -        builder.setresult(pbr); , -        builder.setresult(pbr); , -        builder.setresult(pbr);
1420 , -          if (get.getexistenceonly()) { , -      } , -      } , -      }
1421 , -            boolean exists = r.getexists(); , -      return builder.build(); , -      return builder.build(); , -      return builder.build();
1422 , -            if (region.getcoprocessorhost() != null) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
1423 ," -              exists = region.getcoprocessorhost().postexists(clientget', 'exists); ", -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
1424 , +  public inetsocketaddress[] getfavorednodesforregion(string encodedregionname) { , -    } finally { , -    } finally { , -    } finally {
1425 , +    return regionfavorednodesmap.get(encodedregionname); , -      metricsregionserver.updateget(environmentedgemanager.currenttimemillis() - before); , -      metricsregionserver.updateget(environmentedgemanager.currenttimemillis() - before); , -      metricsregionserver.updateget(environmentedgemanager.currenttimemillis() - before);
1426 , } , -    } , -    } , -    }
1427 , -            existence = exists; , -  } , -  } , -  }
1428 , + , - , - , -
1429 , +  @override , - , - , -
1430 , +  public servernoncemanager getnoncemanager() { , -  /** , -  /** , -  /**
1431 , +    return this.noncemanager; , -   * mutate data in a table. , -   * mutate data in a table. , -   * mutate data in a table.
1432 , } , -   * , -   * , -   *
1433 , + , -   * @param rpcc the rpc controller , -   * @param rpcc the rpc controller , -   * @param rpcc the rpc controller
1434 , +  private static class movedregioninfo { , -   * @param request the mutate request , -   * @param request the mutate request , -   * @param request the mutate request
1435 , +    private final servername servername; , -   * @throws serviceexception , -   * @throws serviceexception , -   * @throws serviceexception
1436 , +    private final long seqnum; , -   */ , -   */ , -   */
1437 , +    private final long ts; , -  @override , -  @override , -  @override
1438 , + , -  public mutateresponse mutate(final rpccontroller rpcc , -  public mutateresponse mutate(final rpccontroller rpcc , -  public mutateresponse mutate(final rpccontroller rpcc
1439 ," +    public movedregioninfo(servername servername', 'long closeseqnum) { ", -      final mutaterequest request) throws serviceexception { , -      final mutaterequest request) throws serviceexception { , -      final mutaterequest request) throws serviceexception {
1440 , +      this.servername = servername; ," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""] "," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""] "," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""]"
1441 , +      this.seqnum = closeseqnum; , -    // it is also the conduit via which we pass back data. , -    // it is also the conduit via which we pass back data. , -    // it is also the conduit via which we pass back data.
1442 , +      ts = environmentedgemanager.currenttimemillis(); , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc; , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc; , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc;
1443 , } , -    cellscanner cellscanner = controller != null? controller.cellscanner(): null; , -    cellscanner cellscanner = controller != null? controller.cellscanner(): null; , -    cellscanner cellscanner = controller != null? controller.cellscanner(): null;
1444 , + , -    // clear scanner so we are not holding on to reference across call. , -    // clear scanner so we are not holding on to reference across call. , -    // clear scanner so we are not holding on to reference across call.
1445 , +    public servername getservername() { , -    if (controller != null) controller.setcellscanner(null); , -    if (controller != null) controller.setcellscanner(null); , -    if (controller != null) controller.setcellscanner(null);
1446 , +      return servername; , -    try { , -    try { , -    try {
1447 , } , -      checkopen(); , -      checkopen(); , -      checkopen();
1448 , -      if (existence != null){ , -      requestcount.increment(); , -      requestcount.increment(); , -      requestcount.increment();
1449 , -        clientprotos.result pbr = protobufutil.toresult(existence); , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion());
1450 , -        builder.setresult(pbr); , -      mutateresponse.builder builder = mutateresponse.newbuilder(); , -      mutateresponse.builder builder = mutateresponse.newbuilder(); , -      mutateresponse.builder builder = mutateresponse.newbuilder();
1451 , -      } else  if (r != null) { , -      mutationproto mutation = request.getmutation(); , -      mutationproto mutation = request.getmutation(); , -      mutationproto mutation = request.getmutation();
1452 , -        clientprotos.result pbr = protobufutil.toresult(r); , -      if (!region.getregioninfo().ismetatable()) { , -      if (!region.getregioninfo().ismetatable()) { , -      if (!region.getregioninfo().ismetatable()) {
1453 , -        builder.setresult(pbr); , -        cacheflusher.reclaimmemstorememory(); , -        cacheflusher.reclaimmemstorememory(); , -        cacheflusher.reclaimmemstorememory();
1454 , + , -      } , -      } , -      }
1455 , +    public long getseqnum() { , -      long noncegroup = request.hasnoncegroup() , -      long noncegroup = request.hasnoncegroup() , -      long noncegroup = request.hasnoncegroup()
1456 , +      return seqnum; , -          ? request.getnoncegroup() : hconstants.no_nonce; , -          ? request.getnoncegroup() : hconstants.no_nonce; , -          ? request.getnoncegroup() : hconstants.no_nonce;
1457 , } , -      result r = null; , -      result r = null; , -      result r = null;
1458 , -      return builder.build(); , -      boolean processed = null; , -      boolean processed = null; , -      boolean processed = null;
1459 , -    } catch (ioexception ie) { , -      mutationtype type = mutation.getmutatetype(); , -      mutationtype type = mutation.getmutatetype(); , -      mutationtype type = mutation.getmutatetype();
1460 , -      throw new serviceexception(ie); , -      switch (type) { , -      switch (type) { , -      switch (type) {
1461 , -    } finally { , -      case append: , -      case append: , -      case append:
1462 , -      metricsregionserver.updateget(environmentedgemanager.currenttimemillis() - before); ," [""-        // todo: this doesn't actually check anything.""] "," [""-        // todo: this doesn't actually check anything.""] "," [""-        // todo: this doesn't actually check anything.""]"
1463 , + ," -        r = append(region', 'mutation', 'cellscanner', 'noncegroup); "," -        r = append(region', 'mutation', 'cellscanner', 'noncegroup); "," -        r = append(region', 'mutation', 'cellscanner', 'noncegroup);"
1464 , +    public long getmovetime() { , -        break; , -        break; , -        break;
1465 , +      return ts; , -      case increment: , -      case increment: , -      case increment:
1466 , } ," [""-        // todo: this doesn't actually check anything.""] "," [""-        // todo: this doesn't actually check anything.""] "," [""-        // todo: this doesn't actually check anything.""]"
1467 , } ," -        r = increment(region', 'mutation', 'cellscanner', 'noncegroup); "," -        r = increment(region', 'mutation', 'cellscanner', 'noncegroup); "," -        r = increment(region', 'mutation', 'cellscanner', 'noncegroup);"
1468 ,  , -        break; , -        break; , -        break;
1469 , +  // this map will contains all the regions that we closed for a move. , -      case put: , -      case put: , -      case put:
1470 ," [""+  //  we add the time it was moved as we don't want to keep too old information""] "," -        put put = protobufutil.toput(mutation', 'cellscanner); "," -        put put = protobufutil.toput(mutation', 'cellscanner); "," -        put put = protobufutil.toput(mutation', 'cellscanner);"
1471 ," +  protected map<string', 'movedregioninfo> movedregions = ", -        if (request.hascondition()) { , -        if (request.hascondition()) { , -        if (request.hascondition()) {
1472 ," +      new concurrenthashmap<string', 'movedregioninfo>(3000); ", -          condition condition = request.getcondition(); , -          condition condition = request.getcondition(); , -          condition condition = request.getcondition();
1473 ,  , -          byte[] row = condition.getrow().tobytearray(); , -          byte[] row = condition.getrow().tobytearray(); , -          byte[] row = condition.getrow().tobytearray();
1474 , -  /** , -          byte[] family = condition.getfamily().tobytearray(); , -          byte[] family = condition.getfamily().tobytearray(); , -          byte[] family = condition.getfamily().tobytearray();
1475 , -   * mutate data in a table. , -          byte[] qualifier = condition.getqualifier().tobytearray(); , -          byte[] qualifier = condition.getqualifier().tobytearray(); , -          byte[] qualifier = condition.getqualifier().tobytearray();
1476 , -   * , -          compareop compareop = compareop.valueof(condition.getcomparetype().name()); , -          compareop compareop = compareop.valueof(condition.getcomparetype().name()); , -          compareop compareop = compareop.valueof(condition.getcomparetype().name());
1477 , -   * @param rpcc the rpc controller , -          bytearraycomparable comparator = , -          bytearraycomparable comparator = , -          bytearraycomparable comparator =
1478 , -   * @param request the mutate request , -            protobufutil.tocomparator(condition.getcomparator()); , -            protobufutil.tocomparator(condition.getcomparator()); , -            protobufutil.tocomparator(condition.getcomparator());
1479 , -   * @throws serviceexception , -          if (region.getcoprocessorhost() != null) { , -          if (region.getcoprocessorhost() != null) { , -          if (region.getcoprocessorhost() != null) {
1480 , -   */ , -            processed = region.getcoprocessorhost().precheckandput( , -            processed = region.getcoprocessorhost().precheckandput( , -            processed = region.getcoprocessorhost().precheckandput(
1481 , -  @override ," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'put); "," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'put); "," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'put);"
1482 , -  public mutateresponse mutate(final rpccontroller rpcc , -          } , -          } , -          }
1483 , -      final mutaterequest request) throws serviceexception { , -          if (processed == null) { , -          if (processed == null) { , -          if (processed == null) {
1484 ," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""] "," -            boolean result = region.checkandmutate(row', 'family "," -            boolean result = region.checkandmutate(row', 'family "," -            boolean result = region.checkandmutate(row', 'family"
1485 , -    // it is also the conduit via which we pass back data. ," -              qualifier', 'compareop', 'comparator', 'put', 'true); "," -              qualifier', 'compareop', 'comparator', 'put', 'true); "," -              qualifier', 'compareop', 'comparator', 'put', 'true);"
1486 , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc; , -            if (region.getcoprocessorhost() != null) { , -            if (region.getcoprocessorhost() != null) { , -            if (region.getcoprocessorhost() != null) {
1487 , -    cellscanner cellscanner = controller != null? controller.cellscanner(): null; ," -              result = region.getcoprocessorhost().postcheckandput(row', 'family "," -              result = region.getcoprocessorhost().postcheckandput(row', 'family "," -              result = region.getcoprocessorhost().postcheckandput(row', 'family"
1488 , -    // clear scanner so we are not holding on to reference across call. ," -                qualifier', 'compareop', 'comparator', 'put', 'result); "," -                qualifier', 'compareop', 'comparator', 'put', 'result); "," -                qualifier', 'compareop', 'comparator', 'put', 'result);"
1489 , -    if (controller != null) controller.setcellscanner(null); , -            } , -            } , -            }
1490 , -    try { , -            processed = result; , -            processed = result; , -            processed = result;
1491 , -      checkopen(); , -          } , -          } , -          }
1492 , -      requestcount.increment(); , -        } else { , -        } else { , -        } else {
1493 , -      hregion region = getregion(request.getregion()); , -          region.put(put); , -          region.put(put); , -          region.put(put);
1494 , -      mutateresponse.builder builder = mutateresponse.newbuilder(); , -          processed = boolean.true; , -          processed = boolean.true; , -          processed = boolean.true;
1495 , -      mutationproto mutation = request.getmutation(); , -        } , -        } , -        }
1496 , -      if (!region.getregioninfo().ismetatable()) { , -        break; , -        break; , -        break;
1497 , -        cacheflusher.reclaimmemstorememory(); , -      case delete: , -      case delete: , -      case delete:
1498 , -      } ," -        delete delete = protobufutil.todelete(mutation', 'cellscanner); "," -        delete delete = protobufutil.todelete(mutation', 'cellscanner); "," -        delete delete = protobufutil.todelete(mutation', 'cellscanner);"
1499 , -      long noncegroup = request.hasnoncegroup() , -        if (request.hascondition()) { , -        if (request.hascondition()) { , -        if (request.hascondition()) {
1500 , -          ? request.getnoncegroup() : hconstants.no_nonce; , -          condition condition = request.getcondition(); , -          condition condition = request.getcondition(); , -          condition condition = request.getcondition();
1501 , -      result r = null; , -          byte[] row = condition.getrow().tobytearray(); , -          byte[] row = condition.getrow().tobytearray(); , -          byte[] row = condition.getrow().tobytearray();
1502 , -      boolean processed = null; , -          byte[] family = condition.getfamily().tobytearray(); , -          byte[] family = condition.getfamily().tobytearray(); , -          byte[] family = condition.getfamily().tobytearray();
1503 , -      mutationtype type = mutation.getmutatetype(); , -          byte[] qualifier = condition.getqualifier().tobytearray(); , -          byte[] qualifier = condition.getqualifier().tobytearray(); , -          byte[] qualifier = condition.getqualifier().tobytearray();
1504 , -      switch (type) { , -          compareop compareop = compareop.valueof(condition.getcomparetype().name()); , -          compareop compareop = compareop.valueof(condition.getcomparetype().name()); , -          compareop compareop = compareop.valueof(condition.getcomparetype().name());
1505 , -      case append: , -          bytearraycomparable comparator = , -          bytearraycomparable comparator = , -          bytearraycomparable comparator =
1506 ," [""-        // todo: this doesn't actually check anything.""] ", -            protobufutil.tocomparator(condition.getcomparator()); , -            protobufutil.tocomparator(condition.getcomparator()); , -            protobufutil.tocomparator(condition.getcomparator());
1507 ," -        r = append(region', 'mutation', 'cellscanner', 'noncegroup); ", -          if (region.getcoprocessorhost() != null) { , -          if (region.getcoprocessorhost() != null) { , -          if (region.getcoprocessorhost() != null) {
1508 , -        break; , -            processed = region.getcoprocessorhost().precheckanddelete( , -            processed = region.getcoprocessorhost().precheckanddelete( , -            processed = region.getcoprocessorhost().precheckanddelete(
1509 , -      case increment: ," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'delete); "," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'delete); "," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'delete);"
1510 ," [""-        // todo: this doesn't actually check anything.""] ", -          } , -          } , -          }
1511 ," -        r = increment(region', 'mutation', 'cellscanner', 'noncegroup); ", -          if (processed == null) { , -          if (processed == null) { , -          if (processed == null) {
1512 , -        break; ," -            boolean result = region.checkandmutate(row', 'family "," -            boolean result = region.checkandmutate(row', 'family "," -            boolean result = region.checkandmutate(row', 'family"
1513 , -      case put: ," -              qualifier', 'compareop', 'comparator', 'delete', 'true); "," -              qualifier', 'compareop', 'comparator', 'delete', 'true); "," -              qualifier', 'compareop', 'comparator', 'delete', 'true);"
1514 ," -        put put = protobufutil.toput(mutation', 'cellscanner); ", -            if (region.getcoprocessorhost() != null) { , -            if (region.getcoprocessorhost() != null) { , -            if (region.getcoprocessorhost() != null) {
1515 , -        if (request.hascondition()) { ," -              result = region.getcoprocessorhost().postcheckanddelete(row', 'family "," -              result = region.getcoprocessorhost().postcheckanddelete(row', 'family "," -              result = region.getcoprocessorhost().postcheckanddelete(row', 'family"
1516 , -          condition condition = request.getcondition(); ," -                qualifier', 'compareop', 'comparator', 'delete', 'result); "," -                qualifier', 'compareop', 'comparator', 'delete', 'result); "," -                qualifier', 'compareop', 'comparator', 'delete', 'result);"
1517 , -          byte[] row = condition.getrow().tobytearray(); , -            } , -            } , -            }
1518 , -          byte[] family = condition.getfamily().tobytearray(); , -            processed = result; , -            processed = result; , -            processed = result;
1519 , -          byte[] qualifier = condition.getqualifier().tobytearray(); , -          } , -          } , -          }
1520 , -          compareop compareop = compareop.valueof(condition.getcomparetype().name()); , -        } else { , -        } else { , -        } else {
1521 , -          bytearraycomparable comparator = , -          region.delete(delete); , -          region.delete(delete); , -          region.delete(delete);
1522 , -            protobufutil.tocomparator(condition.getcomparator()); , -          processed = boolean.true; , -          processed = boolean.true; , -          processed = boolean.true;
1523 , -          if (region.getcoprocessorhost() != null) { , -        } , -        } , -        }
1524 , -            processed = region.getcoprocessorhost().precheckandput( , -        break; , -        break; , -        break;
1525 ," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'put); ", -        default: , -        default: , -        default:
1526 , -          } , -          throw new donotretryioexception( , -          throw new donotretryioexception( , -          throw new donotretryioexception(
1527 , -          if (processed == null) { ," -            ""unsupported mutate type: "" + type.name()); "," -            ""unsupported mutate type: "" + type.name()); "," -            ""unsupported mutate type: "" + type.name());"
1528 ," -            boolean result = region.checkandmutate(row', 'family ", -      } , -      } , -      }
1529 ," -              qualifier', 'compareop', 'comparator', 'put', 'true); ", -      if (processed != null) builder.setprocessed(processed.booleanvalue()); , -      if (processed != null) builder.setprocessed(processed.booleanvalue()); , -      if (processed != null) builder.setprocessed(processed.booleanvalue());
1530 , -            if (region.getcoprocessorhost() != null) { ," -      addresult(builder', 'r', 'controller); "," -      addresult(builder', 'r', 'controller); "," -      addresult(builder', 'r', 'controller);"
1531 ," -              result = region.getcoprocessorhost().postcheckandput(row', 'family ", -      return builder.build(); , -      return builder.build(); , -      return builder.build();
1532 ," -                qualifier', 'compareop', 'comparator', 'put', 'result); ", -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
1533 , -            } , -      checkfilesystem(); , -      checkfilesystem(); , -      checkfilesystem();
1534 , -            processed = result; , -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
1535 , +  // we need a timeout. if not there is a risk of giving a wrong information: this would double , -    } , -    } , -    }
1536 , +  //  the number of network calls instead of reducing them. , -  } , -  } , -  }
1537 , +  private static final int timeout_region_moved = (2 * 60 * 1000); , - , - , -
1538 , + , - , - , -
1539 ," +  protected void addtomovedregions(string encodedname', 'servername destination', 'long closeseqnum) { ", -  /** , -  /** , -  /**
1540 ," +    if (servername.issamehostnameandport(destination', 'this.getservername())) { ", -   * @return true if current call supports cellblocks , -   * @return true if current call supports cellblocks , -   * @return true if current call supports cellblocks
1541 ," +      log.warn(""not adding moved region record: "" + encodedname + "" to self.""); ", -   */ , -   */ , -   */
1542 , +      return; , -  private boolean isclientcellblocksupport() { , -  private boolean isclientcellblocksupport() { , -  private boolean isclientcellblocksupport() {
1543 , } , -    rpccallcontext context = rpcserver.getcurrentcall(); , -    rpccallcontext context = rpcserver.getcurrentcall(); , -    rpccallcontext context = rpcserver.getcurrentcall();
1544 , -        } else { , -    return context != null && context.isclientcellblocksupport(); , -    return context != null && context.isclientcellblocksupport(); , -    return context != null && context.isclientcellblocksupport();
1545 , -          region.put(put); , -  } , -  } , -  }
1546 , -          processed = boolean.true; , - , - , -
1547 ," +    log.info(""adding moved region record: "" + encodedname + "" to "" ", -  private void addresult(final mutateresponse.builder builder , -  private void addresult(final mutateresponse.builder builder , -  private void addresult(final mutateresponse.builder builder
1548 ," +        + destination.getservername() + "":"" + destination.getport() "," -      final result result', 'final payloadcarryingrpccontroller rpcc) { "," -      final result result', 'final payloadcarryingrpccontroller rpcc) { "," -      final result result', 'final payloadcarryingrpccontroller rpcc) {"
1549 ," +        + "" as of "" + closeseqnum); ", -    if (result == null) return; , -    if (result == null) return; , -    if (result == null) return;
1550 ," +    movedregions.put(encodedname', 'new movedregioninfo(destination', 'closeseqnum)); ", -    if (isclientcellblocksupport()) { , -    if (isclientcellblocksupport()) { , -    if (isclientcellblocksupport()) {
1551 , } , -      builder.setresult(protobufutil.toresultnodata(result)); , -      builder.setresult(protobufutil.toresultnodata(result)); , -      builder.setresult(protobufutil.toresultnodata(result));
1552 , -        break; , -      rpcc.setcellscanner(result.cellscanner()); , -      rpcc.setcellscanner(result.cellscanner()); , -      rpcc.setcellscanner(result.cellscanner());
1553 , -      case delete: , -    } else { , -    } else { , -    } else {
1554 ," -        delete delete = protobufutil.todelete(mutation', 'cellscanner); ", -      clientprotos.result pbr = protobufutil.toresult(result); , -      clientprotos.result pbr = protobufutil.toresult(result); , -      clientprotos.result pbr = protobufutil.toresult(result);
1555 , -        if (request.hascondition()) { , -      builder.setresult(pbr); , -      builder.setresult(pbr); , -      builder.setresult(pbr);
1556 , -          condition condition = request.getcondition(); , -    } , -    } , -    }
1557 , -          byte[] row = condition.getrow().tobytearray(); , -  } , -  } , -  }
1558 , -          byte[] family = condition.getfamily().tobytearray(); , - , - , -
1559 , -          byte[] qualifier = condition.getqualifier().tobytearray(); , -  // , -  // , -  //
1560 , -          compareop compareop = compareop.valueof(condition.getcomparetype().name()); , -  // remote scanner interface , -  // remote scanner interface , -  // remote scanner interface
1561 , -          bytearraycomparable comparator = , -  // , -  // , -  //
1562 , -            protobufutil.tocomparator(condition.getcomparator()); , - , - , -
1563 , -          if (region.getcoprocessorhost() != null) { , -  /** , -  /** , -  /**
1564 , -            processed = region.getcoprocessorhost().precheckanddelete( , -   * scan data in a table. , -   * scan data in a table. , -   * scan data in a table.
1565 ," -              row', 'family', 'qualifier', 'compareop', 'comparator', 'delete); ", -   * , -   * , -   *
1566 , -          } , -   * @param controller the rpc controller , -   * @param controller the rpc controller , -   * @param controller the rpc controller
1567 , -          if (processed == null) { , -   * @param request the scan request , -   * @param request the scan request , -   * @param request the scan request
1568 ," -            boolean result = region.checkandmutate(row', 'family ", -   * @throws serviceexception , -   * @throws serviceexception , -   * @throws serviceexception
1569 ," -              qualifier', 'compareop', 'comparator', 'delete', 'true); ", -   */ , -   */ , -   */
1570 , -            if (region.getcoprocessorhost() != null) { , -  @override , -  @override , -  @override
1571 ," -              result = region.getcoprocessorhost().postcheckanddelete(row', 'family "," -  public scanresponse scan(final rpccontroller controller', 'final scanrequest request) "," -  public scanresponse scan(final rpccontroller controller', 'final scanrequest request) "," -  public scanresponse scan(final rpccontroller controller', 'final scanrequest request)"
1572 ," -                qualifier', 'compareop', 'comparator', 'delete', 'result); ", -  throws serviceexception { , -  throws serviceexception { , -  throws serviceexception {
